checklist,accession,sra_accession
ERC000012,SAMEA115033858,ERS17497912
ERC000012,SAMEA115033878,ERS17497933
ERC000012,SAMEA115033779,ERS17497832
ERC000012,SAMEA115033767,ERS17497819
ERC000012,SAMEA115034451,ERS17498520
ERC000012,SAMEA115034596,ERS17498669
ERC000012,SAMEA115034433,ERS17498502
ERC000012,SAMEA115034556,ERS17498628
ERC000012,SAMEA115034772,ERS17498849
ERC000012,SAMEA115034576,ERS17498648
ERC000012,SAMEA115034666,ERS17498740
ERC000012,SAMEA115034770,ERS17498847
ERC000012,SAMEA115034829,ERS17498907
ERC000012,SAMEA115034713,ERS17498788
ERC000012,SAMEA115034551,ERS17498623
ERC000012,SAMEA115034705,ERS17498780
ERC000012,SAMEA115034658,ERS17498732
ERC000012,SAMEA115035011,ERS17499093
ERC000012,SAMEA115034741,ERS17498817
ERC000012,SAMEA115034615,ERS17498688
ERC000012,SAMEA115034853,ERS17498932
ERC000012,SAMEA115034782,ERS17498859
ERC000012,SAMEA115034693,ERS17498768
ERC000012,SAMEA115034830,ERS17498908
ERC000012,SAMEA115034743,ERS17498819
ERC000012,SAMEA115034817,ERS17498895
ERC000012,SAMEA115034827,ERS17498905
ERC000012,SAMEA115034735,ERS17498811
ERC000012,SAMEA115034704,ERS17498779
ERC000012,SAMEA115034719,ERS17498795
ERC000012,SAMEA115034638,ERS17498712
ERC000012,SAMEA115034773,ERS17498850
ERC000012,SAMEA115034820,ERS17498898
ERC000012,SAMEA115034646,ERS17498720
ERC000012,SAMEA115034787,ERS17498864
ERC000012,SAMEA115034846,ERS17498924
ERC000012,SAMEA115034847,ERS17498925
ERC000012,SAMEA115034812,ERS17498890
ERC000012,SAMEA115034882,ERS17498961
ERC000012,SAMEA115034849,ERS17498927
ERC000012,SAMEA115034844,ERS17498922
ERC000012,SAMEA115034881,ERS17498960
ERC000012,SAMEA115034720,ERS17498796
ERC000012,SAMEA115034679,ERS17498754
ERC000012,SAMEA115034726,ERS17498802
ERC000012,SAMEA115034678,ERS17498753
ERC000012,SAMEA115034740,ERS17498816
ERC000012,SAMEA115034893,ERS17498972
ERC000012,SAMEA115034733,ERS17498809
ERC000012,SAMEA115034785,ERS17498862
ERC000012,SAMEA115034848,ERS17498926
ERC000012,SAMEA115034645,ERS17498719
ERC000012,SAMEA115034716,ERS17498791
ERC000012,SAMEA115034864,ERS17498943
ERC000012,SAMEA115034814,ERS17498892
ERC000012,SAMEA115034728,ERS17498804
ERC000013,SAMEA112673974,ERS14671526
ERC000013,SAMEA112673215,ERS14670767
ERC000013,SAMEA112673251,ERS14670803
ERC000013,SAMEA112673783,ERS14671335
ERC000013,SAMEA112673537,ERS14671089
ERC000013,SAMEA112673713,ERS14671265
ERC000013,SAMEA112680984,ERS14678539
ERC000013,SAMEA112673359,ERS14670911
ERC000013,SAMEA112673191,ERS14670743
ERC000013,SAMEA112673522,ERS14671074
ERC000013,SAMEA112673204,ERS14670756
ERC000013,SAMEA112673351,ERS14670903
ERC000013,SAMEA112673210,ERS14670762
ERC000013,SAMEA112673207,ERS14670759
ERC000013,SAMEA112673203,ERS14670755
ERC000013,SAMEA112673693,ERS14671245
ERC000013,SAMEA112673338,ERS14670890
ERC000013,SAMEA112673100,ERS14670652
ERC000013,SAMEA112673548,ERS14671100
ERC000013,SAMEA112673363,ERS14670915
ERC000013,SAMEA112673697,ERS14671249
ERC000013,SAMEA112673556,ERS14671108
